scene_source_id,scene_editor_id,quest_source_id,quest_editor_id,action_index,actor_alias_id,actor_alias_name,start_phase,end_phase,flags,package_source_id,package_editor_id,package_record_type
Glenmoril.esm:009B94,zzzGHMq01SideASc05,Glenmoril.esm:009B83,zzzGHMq01SideA,3,0,Chaplain,0,2,,Skyrim.esm:0CA348,,
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,1,0,Lalanoah,0,0,,Glenmoril.esm:007792,zzzLrhmq01LalanoahFindSnail,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,2,0,Lalanoah,1,1,,Glenmoril.esm:007792,zzzLrhmq01LalanoahFindSnail,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,4,0,Lalanoah,2,2,,Glenmoril.esm:007796,zzzLrhMq01LalanoahFindBeeHive,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,5,0,Lalanoah,3,3,,Glenmoril.esm:007796,zzzLrhMq01LalanoahFindBeeHive,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,7,0,Lalanoah,4,4,,Glenmoril.esm:007799,zzzLrhmq01Sc02LalanoahFindMushRoom,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,8,0,Lalanoah,5,5,,Glenmoril.esm:007799,zzzLrhmq01Sc02LalanoahFindMushRoom,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,10,0,Lalanoah,6,6,,Glenmoril.esm:00779C,zzzLrhMq01Sc02LalanoahFindBirdNest,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,11,0,Lalanoah,7,7,,Glenmoril.esm:00779C,zzzLrhMq01Sc02LalanoahFindBirdNest,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,14,0,Lalanoah,8,8,,Glenmoril.esm:00779F,zzzLrhmq01Sc02LalanoahArrvied,PACK
Glenmoril.esm:007791,zzzLrhMq01Sc02,Glenmoril.esm:007733,zzzLrhMq01,15,0,Lalanoah,9,11,,Glenmoril.esm:00779F,zzzLrhmq01Sc02LalanoahArrvied,PACK
Glenmoril.esm:0172B1,zzzGHMq05scHera,Glenmoril.esm:01719C,zzzGHMq05,4,11,Hera,2,8,,Glenmoril.esm:0172BF,zzzGHMq05HeraNoticePlayer,PACK
Glenmoril.esm:00EF1B,zzzGHMq02GESc01,Glenmoril.esm:00EEFA,zzzGHMq02GoodEnd,1,1,DChild,0,0,,Glenmoril.esm:00EF1C,zzzGhMq02GEChildStayGrandma,PACK
Glenmoril.esm:00EF1B,zzzGHMq02GESc01,Glenmoril.esm:00EEFA,zzzGHMq02GoodEnd,2,1,DChild,1,1,,Glenmoril.esm:00EF1C,zzzGhMq02GEChildStayGrandma,PACK
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,10,6,Jazel2,0,4,,Glenmoril.esm:47AB76,zzzLrhQICJazelReadingBook,PACK
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,11,6,Jazel2,5,5,,Glenmoril.esm:47AB77,zzzLRHICJazelCloseTOPlayer,PACK
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,12,6,Jazel2,6,12,,Glenmoril.esm:47AB77,zzzLRHICJazelCloseTOPlayer,PACK
Glenmoril.esm:0179D7,zzzGHMq06ScMedic,Glenmoril.esm:017733,zzzGHMq06,1,4,Ozwald,0,0,,Glenmoril.esm:0179D8,zzzGHMq06OzwaldListenRomion,PACK
Glenmoril.esm:0179D7,zzzGHMq06ScMedic,Glenmoril.esm:017733,zzzGHMq06,2,7,Romion,0,0,,Glenmoril.esm:0179D9,zzzGHMq06RomionTalkToOzwald,PACK
Glenmoril.esm:0179D7,zzzGHMq06ScMedic,Glenmoril.esm:017733,zzzGHMq06,3,4,Ozwald,1,8,,Glenmoril.esm:0179D8,zzzGHMq06OzwaldListenRomion,PACK
Glenmoril.esm:0179D7,zzzGHMq06ScMedic,Glenmoril.esm:017733,zzzGHMq06,4,7,Romion,1,8,,Glenmoril.esm:0179D9,zzzGHMq06RomionTalkToOzwald,PACK
Glenmoril.esm:11E09A,zzzLaMMq04ScJazel1,Glenmoril.esm:11E085,zzzLaMMq04,1,8,ChickTrader,0,0,,Glenmoril.esm:11E09B,zzzLaMMq04JazelCloseToPlayer,PACK
Glenmoril.esm:11E09A,zzzLaMMq04ScJazel1,Glenmoril.esm:11E085,zzzLaMMq04,2,8,ChickTrader,1,1,,Glenmoril.esm:11E09B,zzzLaMMq04JazelCloseToPlayer,PACK
Glenmoril.esm:014C94,zzzGHMq04Sub01ScSword,Glenmoril.esm:014C39,zzzGHMq04Sub01,1,1,Brandt,0,0,,Glenmoril.esm:014C95,zzzGHMq04S01BrandtFindSword,PACK
Glenmoril.esm:014C94,zzzGHMq04Sub01ScSword,Glenmoril.esm:014C39,zzzGHMq04Sub01,2,1,Brandt,1,10,,Glenmoril.esm:014C95,zzzGHMq04S01BrandtFindSword,PACK
Glenmoril.esm:014CAA,zzzGHMq04Sub01ScVase,Glenmoril.esm:014C39,zzzGHMq04Sub01,1,1,Brandt,0,0,,Glenmoril.esm:014CAB,zzzGHMq04S01BrandtFindVase,PACK
Glenmoril.esm:014CAA,zzzGHMq04Sub01ScVase,Glenmoril.esm:014C39,zzzGHMq04Sub01,2,1,Brandt,1,7,,Glenmoril.esm:014CAB,zzzGHMq04S01BrandtFindVase,PACK
Glenmoril.esm:01481A,zzzGHMq04ScBriefing,Glenmoril.esm:0147BD,zzzGHMq04,2,2,Ozwald,0,0,,Glenmoril.esm:01481B,zzzGHMq04OzwaldBriefingAirship,PACK
Glenmoril.esm:01481A,zzzGHMq04ScBriefing,Glenmoril.esm:0147BD,zzzGHMq04,3,1,Romion,0,0,,Glenmoril.esm:01481C,zzzGHMq04RomionBriefingOnAirship,PACK
Glenmoril.esm:01481A,zzzGHMq04ScBriefing,Glenmoril.esm:0147BD,zzzGHMq04,4,2,Ozwald,1,10,,Glenmoril.esm:01481B,zzzGHMq04OzwaldBriefingAirship,PACK
Glenmoril.esm:01481A,zzzGHMq04ScBriefing,Glenmoril.esm:0147BD,zzzGHMq04,5,1,Romion,1,10,,Glenmoril.esm:01481C,zzzGHMq04RomionBriefingOnAirship,PACK
Glenmoril.esm:007E8B,zzzLrhMq04ScBloodStain,Glenmoril.esm:007E5E,zzzLrhMq04,2,0,Brandt,0,0,,Glenmoril.esm:007EAE,zzzLrhMq04BrandtMoveToBloodStain,PACK
Glenmoril.esm:007E8B,zzzLrhMq04ScBloodStain,Glenmoril.esm:007E5E,zzzLrhMq04,3,0,Brandt,1,1,,Glenmoril.esm:007EAE,zzzLrhMq04BrandtMoveToBloodStain,PACK
Glenmoril.esm:009B92,zzzGHMq01SideASc03,Glenmoril.esm:009B83,zzzGHMq01SideA,3,0,Chaplain,0,2,,Skyrim.esm:0CA348,,
Glenmoril.esm:0083B1,zzzLrhMq07sc1,Glenmoril.esm:0083AC,zzzLrhMq07,1,0,Ozwald,0,0,,Glenmoril.esm:0083B2,zzzLrhMq07OzwaldStayFrontGate,PACK
Glenmoril.esm:0083B1,zzzLrhMq07sc1,Glenmoril.esm:0083AC,zzzLrhMq07,2,1,Jazel,0,0,,Glenmoril.esm:0083B3,zzzLrhMq07JazelWaitOzawaldFrontGate,PACK
Glenmoril.esm:0083B1,zzzLrhMq07sc1,Glenmoril.esm:0083AC,zzzLrhMq07,3,1,Jazel,1,7,,Glenmoril.esm:0083B3,zzzLrhMq07JazelWaitOzawaldFrontGate,PACK
Glenmoril.esm:0083B1,zzzLrhMq07sc1,Glenmoril.esm:0083AC,zzzLrhMq07,4,0,Ozwald,1,7,,Glenmoril.esm:0083B2,zzzLrhMq07OzwaldStayFrontGate,PACK
Glenmoril.esm:007E7F,zzzLrhMq04ScBarrel,Glenmoril.esm:007E5E,zzzLrhMq04,2,0,Brandt,0,0,,Glenmoril.esm:007EAC,zzzLrhMq04BrandtMoveToBarrel,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,1,1,Brandt,0,1,,Glenmoril.esm:0175C7,zzzGHMq05jBrandtFindUrlik,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,2,0,Lalanoah,0,1,,Glenmoril.esm:0175C8,zzzGHMq05jLalanoahFindUrlik,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,3,1,Brandt,2,8,,Glenmoril.esm:0175C7,zzzGHMq05jBrandtFindUrlik,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,4,0,Lalanoah,2,5,,Glenmoril.esm:0175C8,zzzGHMq05jLalanoahFindUrlik,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,12,0,Lalanoah,6,8,,Glenmoril.esm:0175D7,zzzGHMq05jLalanoahRunAway,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,13,4,Boss01,3,8,,Glenmoril.esm:0175D8,zzzGHMq05jUrilFindLalanoah,PACK
Glenmoril.esm:0175C6,zzzGHMq05JscHunter,Glenmoril.esm:017530,zzzGHMq05Joint,14,2,Skoll,6,8,,Glenmoril.esm:0175D9,zzzGHMq05jSkollRunway,PACK
Glenmoril.esm:01758A,zzzGHMq05JscArrive,Glenmoril.esm:017530,zzzGHMq05Joint,2,1,Brandt,0,0,,Glenmoril.esm:01758D,zzzGHMq05jBrandtStayFrontLair,PACK
Glenmoril.esm:01758A,zzzGHMq05JscArrive,Glenmoril.esm:017530,zzzGHMq05Joint,3,0,Lalanoah,0,0,,Glenmoril.esm:01758E,zzzGHMq05jLalanoahStayFrontLair,PACK
Glenmoril.esm:01758A,zzzGHMq05JscArrive,Glenmoril.esm:017530,zzzGHMq05Joint,4,1,Brandt,1,5,,Glenmoril.esm:01758D,zzzGHMq05jBrandtStayFrontLair,PACK
Glenmoril.esm:01758A,zzzGHMq05JscArrive,Glenmoril.esm:017530,zzzGHMq05Joint,5,0,Lalanoah,1,5,,Glenmoril.esm:01758E,zzzGHMq05jLalanoahStayFrontLair,PACK
Glenmoril.esm:0083FD,zzzLrhMq07sc2,Glenmoril.esm:0083AC,zzzLrhMq07,1,2,Lalanoah,0,2,,Glenmoril.esm:0083FE,zzzLrhMq07LalanoahCastHeal,PACK
Glenmoril.esm:00FDD1,zzzGHMq02Sub01Sc02,Glenmoril.esm:00FD2C,zzzGHMq02Sub01,9,1,Brandt,0,7,,Glenmoril.esm:00FD38,zzzGHMq02SubBrandtGoFrontRoom,PACK
Glenmoril.esm:00FDD1,zzzGHMq02Sub01Sc02,Glenmoril.esm:00FD2C,zzzGHMq02Sub01,10,0,Lalanoah,0,7,,Glenmoril.esm:00FD39,zzzGHMq02SubLalanoahGoToRoom,PACK
Glenmoril.esm:00FDD1,zzzGHMq02Sub01Sc02,Glenmoril.esm:00FD2C,zzzGHMq02Sub01,11,2,Goroll,0,7,,Glenmoril.esm:00FD3A,zzzGHMq02SubGorollGoFrontRoom,PACK
Glenmoril.esm:017287,zzzGHMq05ScHolo,Glenmoril.esm:01719C,zzzGHMq05,1,2,Ozwald,0,0,,Glenmoril.esm:017288,zzzGHMq05OzwaldForwadHologram,PACK
Glenmoril.esm:017287,zzzGHMq05ScHolo,Glenmoril.esm:01719C,zzzGHMq05,2,2,Ozwald,1,8,,Glenmoril.esm:017288,zzzGHMq05OzwaldForwadHologram,PACK
Glenmoril.esm:017540,zzzGHMq05JscBrandtCome,Glenmoril.esm:017530,zzzGHMq05Joint,1,1,Brandt,0,0,,Glenmoril.esm:017541,zzzGHMq05jBrandtStandby,PACK
Glenmoril.esm:017540,zzzGHMq05JscBrandtCome,Glenmoril.esm:017530,zzzGHMq05Joint,2,1,Brandt,1,1,,Glenmoril.esm:017542,zzzGHMq05jBrandtGoToLalanoah,PACK
Glenmoril.esm:017540,zzzGHMq05JscBrandtCome,Glenmoril.esm:017530,zzzGHMq05Joint,3,0,Lalanoah,1,1,,Glenmoril.esm:017543,zzzGHMq05jLalanoahWaitBrandt,PACK
Glenmoril.esm:017540,zzzGHMq05JscBrandtCome,Glenmoril.esm:017530,zzzGHMq05Joint,4,1,Brandt,2,6,,Glenmoril.esm:017542,zzzGHMq05jBrandtGoToLalanoah,PACK
Glenmoril.esm:017540,zzzGHMq05JscBrandtCome,Glenmoril.esm:017530,zzzGHMq05Joint,5,0,Lalanoah,2,6,,Glenmoril.esm:017543,zzzGHMq05jLalanoahWaitBrandt,PACK
Glenmoril.esm:017567,zzzGHMq05JscLetGo,Glenmoril.esm:017530,zzzGHMq05Joint,2,0,Lalanoah,0,5,,Glenmoril.esm:01756A,zzzGHMq05jLalanoahCloseToBrandt,PACK
Glenmoril.esm:017567,zzzGHMq05JscLetGo,Glenmoril.esm:017530,zzzGHMq05Joint,11,1,Brandt,0,5,,Glenmoril.esm:01757B,zzzGHMq05jBrandtGiveUpBeastLair,PACK
Glenmoril.esm:017567,zzzGHMq05JscLetGo,Glenmoril.esm:017530,zzzGHMq05Joint,16,1,Brandt,6,8,,Glenmoril.esm:01757C,zzzGHMq05jBrandtWaitLalanoahComing,PACK
Glenmoril.esm:017567,zzzGHMq05JscLetGo,Glenmoril.esm:017530,zzzGHMq05Joint,17,0,Lalanoah,6,8,,Glenmoril.esm:01757D,zzzGHMq05jLalanoahCallSkoll,PACK
