scene_source_id,scene_editor_id,quest_source_id,quest_editor_id,action_index,actor_alias_id,actor_alias_name,start_phase,end_phase,flags,timer_seconds
Glenmoril.esm:009B94,zzzGHMq01SideASc05,Glenmoril.esm:009B83,zzzGHMq01SideA,4,0,Chaplain,2,2,,3.0
Glenmoril.esm:360C4B,zzzRevCqAishaSc03,Glenmoril.esm:360BD2,zzzRevCqAisha,2,0,Aisya,0,0,,0.5
Glenmoril.esm:0172B1,zzzGHMq05scHera,Glenmoril.esm:01719C,zzzGHMq05,1,11,Hera,0,0,,2.0
Glenmoril.esm:0172B1,zzzGHMq05scHera,Glenmoril.esm:01719C,zzzGHMq05,9,11,Hera,5,5,,0.10000000149011612
Glenmoril.esm:0172B1,zzzGHMq05scHera,Glenmoril.esm:01719C,zzzGHMq05,10,11,Hera,7,7,,0.10000000149011612
Glenmoril.esm:0172B1,zzzGHMq05scHera,Glenmoril.esm:01719C,zzzGHMq05,11,11,Hera,8,8,,0.10000000149011612
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,4,6,Jazel2,1,1,,0.5
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,5,6,Jazel2,10,10,,0.5
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,6,6,Jazel2,12,12,,1.0
Glenmoril.esm:47AAF6,zzzLrhqItheliaCall01Sc01,Glenmoril.esm:47AAEF,zzzLrhqItheliaCall01,16,6,Jazel2,11,11,,3.0
Glenmoril.esm:0179D7,zzzGHMq06ScMedic,Glenmoril.esm:017733,zzzGHMq06,21,7,Romion,0,0,,1.0
Glenmoril.esm:497A03,zzzLrhMq03ScDeathCheck,Glenmoril.esm:00790A,zzzLrhMq03,1,0,Lalanoah,0,0,,10.0
Glenmoril.esm:497A02,zzzLrhMq01ScDeathCheck,Glenmoril.esm:007733,zzzLrhMq01,1,0,Lalanoah,0,0,,10.0
Glenmoril.esm:17B5C5,zzzLaMMq05ScCedricWarning,Glenmoril.esm:1329BD,zzzLaMMq05,1,1,Cedric,0,0,,0.10000000149011612
Glenmoril.esm:01481A,zzzGHMq04ScBriefing,Glenmoril.esm:0147BD,zzzGHMq04,1,1,Romion,0,0,,1.0
Glenmoril.esm:009B92,zzzGHMq01SideASc03,Glenmoril.esm:009B83,zzzGHMq01SideA,4,0,Chaplain,2,2,,3.0
Glenmoril.esm:0083FD,zzzLrhMq07sc2,Glenmoril.esm:0083AC,zzzLrhMq07,2,2,Lalanoah,0,0,,3.0
Glenmoril.esm:0083FD,zzzLrhMq07sc2,Glenmoril.esm:0083AC,zzzLrhMq07,3,2,Lalanoah,2,2,,10.0
Glenmoril.esm:092BC0,zzzLRHrqKanraRescueSc01,Glenmoril.esm:092BBC,zzzLRHrqKanraRescue,1,3,Target,0,0,,1.0
Glenmoril.esm:01479F,zzzGHSkit02Sc01,Glenmoril.esm:01479D,zzzGHSkit02,21,0,Yatsu,12,12,,12.0
Glenmoril.esm:01498D,zzzGHMq04ScArkved,Glenmoril.esm:0147BD,zzzGHMq04,17,3,Jazel,5,5,,1.0
